#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
9672.97  14.865  0.041  0
9674.96  14.109  0.044  0
9676.96  13.730  0.167  0
9678.00  13.516  0.030  0
9686.00  13.059  0.024  0
9686.99  13.082  0.028  0
9688.04  13.104  0.035  0
9689.06  13.190  0.047  0
9690.03  13.231  0.040  0
9694.03  13.435  0.038  0
9695.03  13.515  0.031  0
9695.97  13.576  0.035  0
9696.96  13.674  0.028  0
9699.98  13.931  0.046  0
9700.97  14.048  0.069  0
9702.96  14.260  0.034  0
9705.06  14.446  0.047  0
9707.06  14.669  0.040  0
9715.93  15.491  0.042  0
9721.03  15.790  0.040  0
9725.01  15.949  0.036  0
9726.96  15.996  0.060  0
9740.86  16.262  0.042  0
9744.94  16.340  0.041  0
9745.92  16.348  0.050  0
9749.99  16.381  0.042  0
9769.74  16.645  0.070  0
9783.86  16.861  0.063  0
9805.88  17.235  0.082  0
